title,price,link,parsed_at
"iPhone 13, 256 ГБ",24 990 ₽,https://www.avito.ru/kazan/telefony/iphone_13_256_gb_7811411266?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5YzZBSk8yWkFhcEhxeGdrIjt93fUk7z8AAAA,2026-03-31 12:30:11
"iPhone 13, 128 ГБ",18 870 ₽,https://www.avito.ru/krasnoyarsk/telefony/iphone_13_128_gb_sim_esim_7893374843?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5YzZBSk8yWkFhcEhxeGdrIjt93fUk7z8AAAA,2026-03-31 12:30:11
"iPhone 13, 128 ГБ",18 900 ₽,https://www.avito.ru/kaliningrad/telefony/iphone_13_128_gb_sim_esim_2670796854?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5YzZBSk8yWkFhcEhxeGdrIjt93fUk7z8AAAA,2026-03-31 12:30:11
"iPhone 13, 128 ГБ",14 990 ₽,https://www.avito.ru/stavropol/telefony/iphone_13_128_gb_sim_esim_7770468454?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5YzZBSk8yWkFhcEhxeGdrIjt93fUk7z8AAAA,2026-03-31 12:30:11
"iPhone 13, 128 ГБ",15 900 ₽,https://www.avito.ru/kaliningrad/telefony/iphone_13_128_gb_2_sim_4450483725?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5YzZBSk8yWkFhcEhxeGdrIjt93fUk7z8AAAA,2026-03-31 12:30:11
"iPhone 13, 256 ГБ",20 490 ₽,https://www.avito.ru/novosibirsk/telefony/iphone_13_256_gb_sim_esim_7920910538?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5YzZBSk8yWkFhcEhxeGdrIjt93fUk7z8AAAA,2026-03-31 12:30:11
"iPhone 13, 256 ГБ",20 990 ₽,https://www.avito.ru/ekaterinburg/telefony/iphone_13_256_gb_sim_esim_7773933923?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5YzZBSk8yWkFhcEhxeGdrIjt93fUk7z8AAAA,2026-03-31 12:30:11
"iPhone 13, 256 ГБ",19 990 ₽,https://www.avito.ru/krasnoyarsk/telefony/iphone_13_256_gb_sim_esim_7936755607?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5YzZBSk8yWkFhcEhxeGdrIjt93fUk7z8AAAA,2026-03-31 12:30:11
"iPhone 13, 512 ГБ",28 990 ₽,https://www.avito.ru/moskva/telefony/iphone_13_512_gb_4023251256?slocation=621540&context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5YzZBSk8yWkFhcEhxeGdrIjt93fUk7z8AAAA,2026-03-31 12:30:11
"iPhone 13, 128 ГБ",14 990 ₽,https://www.avito.ru/stavropol/telefony/iphone_13_128_gb_sim_esim_7310502863?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5YzZBSk8yWkFhcEhxeGdrIjt93fUk7z8AAAA,2026-03-31 12:30:11
